high altitude bomber	高々度爆撃機			軍備・兵器			高々度爆撃機		high altitude bomber
howitzer	榴弾砲			軍備・兵器			榴弾砲		howitzer
hydrogen bomb	水素爆弾	H-bomb		軍備・兵器		H-bomb	水素爆弾	H-bomb	hydrogen bomb
infrared-guided missile	赤外線誘導ミサイル			軍備・兵器			赤外線誘導ミサイル		infrared-guided missile
intercontinental ballistic missile	大陸間弾道ミサイル	ICBM		軍備・兵器		ICBM	大陸間弾道ミサイル	ICBM	intercontinental ballistic missile
joint direct-attack munition	統合直接攻撃爆弾	JDAM		軍備・兵器		JDAM	統合直接攻撃爆弾	JDAM	joint direct-attack munition
land mine	地雷			軍備・兵器			地雷		land mine
laser-guided bomb	レーザー誘導爆弾			軍備・兵器			レーザー誘導爆弾		laser-guided bomb
lethal weapon	殺傷兵器			軍備・兵器			殺傷兵器		lethal weapon
Little Boy	リトルボーイ		広島に投下された原爆の通称	軍備・兵器	広島に投下された原爆の通称		リトルボーイ		Little Boy
medium range missile	中距離ミサイル			軍備・兵器			中距離ミサイル		medium range missile
medium-range ballistic missile	中距離弾道ミサイル			軍備・兵器			中距離弾道ミサイル		medium-range ballistic missile
midget submarine	小型潜水艇			軍備・兵器			小型潜水艇		midget submarine
military aircraft	軍用機			軍備・兵器			軍用機		military aircraft
military jet	軍用ジェット機			軍備・兵器			軍用ジェット機		military jet
military preparedness	軍備			軍備・兵器			軍備		military preparedness
military use*	軍事利用			軍備・兵器			軍事利用		military use*
missile technology	ミサイル技術			軍備・兵器			ミサイル技術		missile technology
missile test	ミサイル実験			軍備・兵器			ミサイル実験		missile test
Molotov cocktail	火炎瓶			軍備・兵器			火炎瓶		Molotov cocktail
multirole strike fighter	多用途戦闘機			軍備・兵器			多用途戦闘機		multirole strike fighter
mustard gas	マスタードガス			軍備・兵器			マスタードガス		mustard gas
Navy Theater-Wide Defense	海上配備型上層防衛システム	NTWD		軍備・兵器		NTWD	海上配備型上層防衛システム	NTWD	Navy Theater-Wide Defense
nerve agent	神経剤、神経ガス			軍備・兵器			神経剤、神経ガス		nerve agent
nerve gas	神経ガス			軍備・兵器			神経ガス		nerve gas
neutron bomb	中性子爆弾			軍備・兵器			中性子爆弾		neutron bomb
nightvision goggle	暗視ゴーグル			軍備・兵器			暗視ゴーグル		nightvision goggle
non-conventional weapon*	非通常兵器			軍備・兵器			非通常兵器		non-conventional weapon*
nonlethal weapon	非殺傷兵器			軍備・兵器			非殺傷兵器		nonlethal weapon
nuclear facility	核施設			軍備・兵器			核施設		nuclear facility
nuclear missile	核弾頭ミサイル			軍備・兵器			核弾頭ミサイル		nuclear missile
nuclear submarine	原子力潜水艦			軍備・兵器			原子力潜水艦		nuclear submarine
nuclear warhead	核弾頭			軍備・兵器			核弾頭		nuclear warhead
nuclear weapon	核兵器			軍備・兵器			核兵器		nuclear weapon
nuclear-capable missile	核弾頭搭載可能なミサイル			軍備・兵器			核弾頭搭載可能なミサイル		nuclear-capable missile
nuclear-powered submarine	原子力潜水艦			軍備・兵器			原子力潜水艦		nuclear-powered submarine
patrol aircraft	哨戒機			軍備・兵器			哨戒機		patrol aircraft
patrol boat	巡視船			軍備・兵器			巡視船		patrol boat
pepper spray	トウガラシスプレー			軍備・兵器			トウガラシスプレー		pepper spray
petrol bomb	火炎瓶			軍備・兵器			火炎瓶		petrol bomb
pipe bomb	パイプ爆弾			軍備・兵器			パイプ爆弾		pipe bomb
